Stars,Product,Origin,CD_name,Dest,DistanceTravelled_Fac_CD,TruckType,DriverF_CD,DaysStocked,FloorCD,DistanceTravelled_CD_Client,TruckType2,DriverCD_C,RoutDeveliveryOrder
4,P6,F4,CD2,C203,162,SemiTrailler,D05,37,2,59.7,CityDeliveryTruck,D2_2,2
4,P2,F3,CD2,C202,162,SemiTrailler,D06,5,0,94.2,MiniVan,D2_4,3
5,P6,F3,CD2,C202,162,SemiTrailler,D04,27,0,30.9,Van,D2_7,1
2,P9,F3,CD2,C202,162,SemiTrailler,D03,14,0,89.7,Van,D2_7,3
5,P9,F2,CD3,C305,58,Truck,D03,30,1,171.7,Van,D3_2,6
5,P7,F1,CD2,C201,162,Truck,D04,19,2,176.5,CityDeliveryTruck,D2_2,6
4,P1,F2,CD1,C103,36,SemiTrailler,D01,6,2,87.7,Van,D1_6,3
3,P9,F3,CD3,C305,58,SemiTrailler,D06,35,3,88.3,Van,D3_5,3
1,P9,F3,CD2,C202,162,SemiTrailler,D05,25,4,88.6,CityDeliveryTruck,D2_5,3
1,P8,F3,CD1,C101,36,SemiTrailler,D05,30,1,28.9,CityDeliveryTruck,D1_3,1
5,P9,F3,CD3,C301,58,SemiTrailler,D01,24,3,58.5,Van,D3_1,2
4,P1,F2,CD3,C302,58,SemiTrailler,D05,29,1,28.7,CityDeliveryTruck,D3_4,1
5,P6,F3,CD2,C204,162,Truck,D01,5,1,143.3,CityDeliveryTruck,D2_1,5
2,P5,F3,CD1,C102,36,SemiTrailler,D04,9,2,121,Van,D1_4,4
5,P3,F2,CD2,C202,162,SemiTrailler,D04,15,3,152.8,MiniVan,D2_3,5
5,P6,F3,CD3,C302,58,Truck,D04,6,4,152.5,CityDeliveryTruck,D3_2,5
2,P13,F1,CD1,C102,36,SemiTrailler,D05,28,4,171.5,MiniVan,D1_3,6
3,P3,F2,CD2,C205,162,SemiTrailler,D06,19,3,30.8,Van,D2_5,1
2,P5,F3,CD1,C101,36,SemiTrailler,D02,6,1,115.6,Van,D1_3,4
3,P13,F2,CD1,C103,36,SemiTrailler,D01,33,4,91.3,CityDeliveryTruck,D1_6,3
4,P6,F1,CD3,C302,58,SemiTrailler,D05,28,2,152.8,MiniVan,D3_3,5
5,P5,F3,CD2,C202,162,SemiTrailler,D03,15,0,62.4,Van,D2_2,2
5,P9,F1,CD1,C103,36,Truck,D05,10,0,182.2,Van,D1_7,3
3,P10,F4,CD1,C105,36,Truck,D05,31,3,122.2,MiniVan,D1_5,4
2,P3,F3,CD1,C103,36,SemiTrailler,D04,7,0,30.5,Van,D1_3,1
5,P14,F4,CD3,C302,58,SemiTrailler,D03,33,3,30.4,Van,D3_6,1
1,P9,F1,CD2,C203,162,SemiTrailler,D04,9,2,61.8,Van,D2_4,2
4,P1,F3,CD1,C105,36,SemiTrailler,D04,21,1,29.3,MiniVan,D1_7,1
3,P10,F2,CD3,C304,58,SemiTrailler,D03,25,0,57.1,Van,D3_7,2
3,P14,F3,CD1,C102,36,SemiTrailler,D06,8,3,179.1,Van,D1_2,6
4,P5,F4,CD1,C102,36,Truck,D05,14,3,30.4,MiniVan,D1_4,1
2,P11,F1,CD3,C301,58,SemiTrailler,D01,19,3,124.4,CityDeliveryTruck,D3_7,4
1,P7,F1,CD2,C201,162,SemiTrailler,D01,18,1,145.3,Van,D2_1,5
1,P13,F3,CD1,C101,36,Truck,D04,32,0,148.3,Van,D1_3,5
3,P11,F1,CD1,C101,36,Truck,D01,37,0,176.4,Van,D1_4,6
4,P5,F1,CD3,C304,58,SemiTrailler,D01,5,2,28.9,Van,D3_4,1
4,P12,F1,CD3,C304,58,SemiTrailler,D01,13,3,156.6,Van,D3_1,5
4,P12,F3,CD2,C204,162,SemiTrailler,D03,21,3,186.5,CityDeliveryTruck,D2_5,6
2,P8,F3,CD1,C103,36,SemiTrailler,D03,19,2,87.9,Van,D1_5,3
5,P3,F2,CD2,C203,162,SemiTrailler,D06,26,0,87.7,MiniVan,D2_4,3
3,P3,F2,CD2,C202,162,Truck,D02,36,1,30.5,Van,D2_4,1
4,P2,F4,CD3,C304,58,Truck,D03,7,2,57.9,MiniVan,D3_2,2
5,P13,F4,CD2,C201,162,SemiTrailler,D01,17,4,58.1,Van,D2_2,2
4,P11,F2,CD3,C303,58,Truck,D06,14,4,188.1,MiniVan,D3_4,6
1,P10,F1,CD1,C101,36,Truck,D06,36,3,29.1,CityDeliveryTruck,D1_7,1
5,P14,F2,CD3,C302,58,Truck,D03,30,4,31.5,MiniVan,D3_1,1
