country,year,basic_sanitation_access_percent,child_mortality_0_5_year_olds_dying_per_1000_born,children_per_woman_total_fertility,co2_emissions_tonnes_per_person,employment_rate_percent,hdi,income_per_person_gdppercapita_ppp_inflation_adjusted,life_expectancy,population_total,suicide_per_100000_people
Albania,1999,88.3,25.9,2.16,0.966,48.5,0.667,5910,75.4,3130000,1.88
Albania,2000,89.1,24.5,2.07,1.03,48.0,0.673,6460,76.0,3130000,4.04
Albania,2001,89.9,23.1,1.98,1.2,48.4,0.68,6780,75.9,3130000,4.53
Albania,2002,90.7,21.8,1.9,1.38,48.2,0.687,7180,75.6,3120000,4.08
Albania,2003,91.4,20.4,1.82,1.34,48.0,0.692,7610,75.8,3100000,4.72
Albania,2006,93.6,16.7,1.67,1.29,48.4,0.718,9180,77.5,3030000,4.06
Albania,2007,94.3,15.5,1.65,1.46,47.9,0.724,9940,77.6,3000000,5.34
Albania,2009,95.6,13.3,1.65,1.56,46.6,0.74,10800,78.1,2950000,3.08
Armenia,1999,86.9,30.8,1.3,1.14,49.7,0.649,4050,72.4,3070000,1.58
Armenia,2000,87.3,29.3,1.2,1.16,49.1,0.653,4460,72.5,3050000,1.53
Armenia,2001,87.7,27.8,1.2,1.01,48.4,0.663,5080,72.7,3030000,2.15
Armenia,2002,88.1,26.5,1.4,1.15,47.8,0.672,5820,72.8,3020000,1.84
Armenia,2007,90.1,20.5,1.4,1.92,46.2,0.727,10500,73.5,2910000,1.74
Armenia,2011,91.8,16.7,1.73,1.99,49.9,0.737,10400,74.6,2880000,2.39
Armenia,2012,92.2,15.9,1.71,1.91,50.9,0.743,10700,75.1,2900000,1.92
Armenia,2013,92.6,15.1,1.69,1.91,49.9,0.746,11000,75.2,2910000,1.54
Armenia,2014,93.1,14.4,1.66,1.65,48.9,0.748,11300,75.1,2930000,2.02
Armenia,2015,93.4,13.7,1.63,1.76,49.1,0.751,11300,75.3,2940000,1.85
Australia,1999,100.0,6.19,1.76,18.5,59.4,0.898,38500,79.7,19000000,11.7
Australia,2000,100.0,6.08,1.76,18.6,59.3,0.9,38700,80.1,19200000,11.8
Australia,2001,100.0,5.99,1.78,18.7,59.6,0.903,39700,80.3,19400000,11.0
Australia,2002,100.0,5.91,1.79,18.9,60.0,0.904,40400,80.6,19600000,10.1
Australia,2003,100.0,5.82,1.82,19.3,60.2,0.907,41600,80.9,19900000,9.66
Australia,2005,100.0,5.59,1.89,19.1,61.8,0.905,42900,81.5,20500000,9.45
Australia,2006,100.0,5.41,1.92,19.2,62.5,0.908,44300,81.5,20900000,9.71
Australia,2007,100.0,5.21,1.94,19.0,62.8,0.922,45000,81.7,21300000,9.96
Australia,2008,100.0,4.99,1.94,18.8,61.9,0.923,44900,81.9,21800000,9.62
Australia,2009,100.0,4.77,1.93,18.4,62.1,0.926,45100,82.1,22200000,9.82
Australia,2010,100.0,4.54,1.92,18.0,62.2,0.928,45600,82.3,22500000,9.73
Australia,2011,100.0,4.32,1.9,17.8,61.8,0.932,46600,82.6,22900000,10.3
Australia,2012,100.0,4.13,1.89,17.1,61.3,0.926,47000,82.7,23300000,10.2
Australia,2013,100.0,3.98,1.87,16.7,60.8,0.929,47400,82.7,23600000,11.2
Australia,2014,100.0,3.87,1.86,16.8,61.1,0.933,47800,82.7,23900000,11.6
Austria,1999,100.0,5.5,1.37,8.22,55.8,0.838,46600,78.5,8070000,15.9
Austria,2000,100.0,5.41,1.33,8.69,55.6,0.849,47000,78.9,8100000,14.8
Austria,2001,100.0,5.31,1.39,8.87,56.0,0.838,47500,79.0,8130000,15.2
Austria,2002,100.0,5.2,1.38,9.52,55.9,0.842,47700,79.1,8180000,14.1
Austria,2003,100.0,5.05,1.42,9.49,53.5,0.849,48700,79.5,8220000,13.7
Austria,2004,100.0,4.9,1.41,9.63,54.8,0.855,49500,79.8,8250000,13.1
Austria,2005,100.0,4.76,1.41,9.31,55.4,0.861,50900,80.1,8290000,11.9
Austria,2006,100.0,4.65,1.38,8.96,56.5,0.881,52700,80.3,8310000,11.8
Austria,2007,100.0,4.54,1.41,8.85,57.2,0.884,53300,80.5,8340000,11.2
Austria,2008,100.0,4.44,1.39,8.1,56.8,0.886,51100,80.5,8370000,11.4
Austria,2009,100.0,4.33,1.44,8.6,57.1,0.895,51900,80.8,8410000,11.4
Austria,2010,100.0,4.2,1.44,8.3,57.3,0.897,53300,81.0,8450000,11.4
Austria,2011,100.0,4.05,1.46,7.95,57.4,0.899,53400,81.2,8500000,10.9
Austria,2012,100.0,3.91,1.47,7.97,57.2,0.896,53100,81.3,8560000,10.7
Austria,2013,100.0,3.8,1.48,7.49,56.8,0.904,53000,81.5,8620000,11.2
Austria,2014,100.0,3.71,1.49,7.7,56.7,0.906,53000,81.6,8680000,10.2
Austria,2015,100.0,3.65,1.49,7.7,56.8,0.909,53400,81.8,8750000,9.75
Azerbaijan,1999,63.2,75.0,2.03,3.64,55.8,0.641,4060,66.5,8120000,0.836
Azerbaijan,2006,75.9,46.0,1.84,3.49,59.6,0.712,11900,68.2,8720000,0.648
Bahrain,2004,99.9,10.6,2.45,22.3,67.7,0.792,47500,72.7,889000,3.96
Bahrain,2005,99.9,10.2,2.37,20.3,68.2,0.793,46900,73.0,958000,2.14
Bahrain,2006,99.9,9.79,2.29,25.9,68.9,0.796,47000,73.6,1040000,3.05
Bahrain,2007,100.0,9.35,2.23,26.7,69.7,0.796,46400,74.0,1110000,2.86
Bahrain,2008,100.0,8.92,2.18,23.7,70.6,0.794,44800,74.5,1190000,2.46
Bahrain,2009,100.0,8.53,2.14,23.5,71.4,0.796,44600,75.0,1240000,1.1
Bahrain,2010,100.0,8.23,2.12,22.4,70.5,0.798,44200,75.3,1280000,1.38
Bahrain,2013,100.0,7.7,2.07,23.3,70.7,0.81,48200,76.6,1340000,0.541
Belarus,1999,91.7,12.8,1.24,5.62,58.5,0.682,8050,69.0,9870000,31.2
